accX,accY,accZ,time,microseconds
-6308,5036,-1390,"2022-04-13 10:22:45",113202
-6305,5066,-1414,"2022-04-13 10:22:45",114195
-6298,5054,-1397,"2022-04-13 10:22:45",115188
-6312,5046,-1368,"2022-04-13 10:22:45",116181
-6310,5068,-1383,"2022-04-13 10:22:45",117174
-6306,5049,-1399,"2022-04-13 10:22:45",118167
-6298,5031,-1380,"2022-04-13 10:22:45",119160
-6291,5046,-1384,"2022-04-13 10:22:45",120153
-6294,5048,-1396,"2022-04-13 10:22:45",121146
-6307,5020,-1397,"2022-04-13 10:22:45",122139
-6296,5039,-1391,"2022-04-13 10:22:45",123132
-6268,5024,-1368,"2022-04-13 10:22:45",124125
-6299,5054,-1369,"2022-04-13 10:22:45",125118
-6298,5062,-1360,"2022-04-13 10:22:45",126111
-6285,5055,-1382,"2022-04-13 10:22:45",127104
-6280,5058,-1379,"2022-04-13 10:22:45",128097
-6301,5063,-1389,"2022-04-13 10:22:45",129090
-6265,5063,-1374,"2022-04-13 10:22:45",130083
-6267,5052,-1372,"2022-04-13 10:22:45",131076
-6259,5059,-1374,"2022-04-13 10:22:45",132069
-6276,5059,-1371,"2022-04-13 10:22:45",133062
-6284,5063,-1372,"2022-04-13 10:22:45",134055
-6280,5059,-1390,"2022-04-13 10:22:45",135048
-6272,5068,-1390,"2022-04-13 10:22:45",136041
-6275,5063,-1369,"2022-04-13 10:22:45",137034
-6280,5055,-1365,"2022-04-13 10:22:45",138027
-6285,5065,-1395,"2022-04-13 10:22:45",139020
-6282,5044,-1390,"2022-04-13 10:22:45",140013
-6271,5034,-1397,"2022-04-13 10:22:45",141006
-6264,5033,-1382,"2022-04-13 10:22:45",141999
-6285,5040,-1373,"2022-04-13 10:22:45",142992
-6286,5060,-1380,"2022-04-13 10:22:45",143985
-6261,5051,-1388,"2022-04-13 10:22:45",144978
-6279,5054,-1399,"2022-04-13 10:22:45",145971
-6289,5052,-1384,"2022-04-13 10:22:45",146964
-6288,5054,-1390,"2022-04-13 10:22:45",147957
-6287,5052,-1367,"2022-04-13 10:22:45",148950
-6300,5065,-1404,"2022-04-13 10:22:45",149943
-6272,5047,-1399,"2022-04-13 10:22:45",150936
-6289,5050,-1370,"2022-04-13 10:22:45",151929
-6288,5044,-1404,"2022-04-13 10:22:45",152922
-6272,5059,-1389,"2022-04-13 10:22:45",153915
-6294,5081,-1368,"2022-04-13 10:22:45",154908
-6303,5069,-1394,"2022-04-13 10:22:45",155901
-6286,5045,-1378,"2022-04-13 10:22:45",156894
-6275,5040,-1395,"2022-04-13 10:22:45",157887
-6311,5038,-1375,"2022-04-13 10:22:45",158880
-6308,5044,-1382,"2022-04-13 10:22:45",159873
-6308,5075,-1360,"2022-04-13 10:22:45",160866
-6318,5070,-1380,"2022-04-13 10:22:45",161859
-6308,5056,-1368,"2022-04-13 10:22:45",162852
-6298,5071,-1374,"2022-04-13 10:22:45",163845
-6308,5060,-1405,"2022-04-13 10:22:45",164838
-6289,5062,-1376,"2022-04-13 10:22:45",165831
-6319,5054,-1379,"2022-04-13 10:22:45",166824
-6333,5076,-1370,"2022-04-13 10:22:45",167817
-6312,5070,-1365,"2022-04-13 10:22:45",168810
-6304,5080,-1380,"2022-04-13 10:22:45",169803
-6306,5070,-1390,"2022-04-13 10:22:45",170796
-6303,5036,-1386,"2022-04-13 10:22:45",171789
-6299,5053,-1384,"2022-04-13 10:22:45",172782
-6316,5059,-1380,"2022-04-13 10:22:45",173775
-6303,5054,-1392,"2022-04-13 10:22:45",174768
-6314,5056,-1370,"2022-04-13 10:22:45",175761
-6310,5054,-1379,"2022-04-13 10:22:45",176754
-6302,5071,-1381,"2022-04-13 10:22:45",177747
-6317,5094,-1359,"2022-04-13 10:22:45",178740
-6310,5064,-1378,"2022-04-13 10:22:45",179733
